name,value
SEX,0.0809482163376753
centroid_x,0.027911888371356764
centroid_y,0.0505132044114888
centroid_z,0.046177934622290834
logjac_n,0.08502149862937487
logjac_mean,0.13424225260282174
logjac_std,0.1414795867312977
logjac_p05,0.18467677595259765
logjac_p95,0.11860776795624921
mag_mean,0.13298763187019436
mag_std,0.1297599416826784
div_mean,0.174695578211662
div_std,0.10231079747101775
div_p05,0.15897159635944463
div_p95,0.13016882430428509
ux_mean,0.15199747189624058
ux_std,0.1691406791213854
ux_p05,0.16707375000666838
ux_p95,0.14659259210399228
uy_mean,0.1297125318844369
uy_std,0.10639148920387527
uy_p95,0.14547101529011436
uz_mean,0.10509913949651191
uz_std,0.12672788480591046
uz_p95,0.13477535249711842
curlmag_mean,0.1007002296227538
original_firstorder_InterquartileRange,0.09134705326785136
original_firstorder_Kurtosis,0.13123240158098812
original_firstorder_Minimum,0.05700325150956288
original_firstorder_Range,0.06224453484331226
original_firstorder_Skewness,0.13849557918217698
original_firstorder_Uniformity,0.07084877582459606
original_firstorder_Variance,0.08182611975446974
original_glcm_Autocorrelation,0.1165325455880996
original_glcm_ClusterProminence,0.07818734891307934
original_glcm_ClusterShade,0.08610483059545712
original_glcm_Contrast,0.08216548799305143
original_glcm_DifferenceAverage,0.0611735245697139
original_glcm_Id,0.08212921254799063
original_glcm_Imc1,0.08367585450566331
original_glcm_InverseVariance,0.05762829588398575
original_gldm_DependenceVariance,0.11661140105071496
original_gldm_GrayLevelNonUniformity,0.06808216555179772
original_gldm_LargeDependenceEmphasis,0.013266126910867435
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.11732838715559754
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.1406927451442082
original_glrlm_GrayLevelNonUniformity,0.10667336246935925
original_glrlm_LongRunLowGrayLevelEmphasis,0.08925378424033725
original_glrlm_ShortRunLowGrayLevelEmphasis,0.05540375986903643
original_glszm_GrayLevelNonUniformityNormalized,0.10721472157180778
original_glszm_GrayLevelVariance,0.06066475495435982
original_glszm_LargeAreaEmphasis,0.3369489942314759
original_glszm_LargeAreaHighGrayLevelEmphasis,0.08263513305089536
original_glszm_LowGrayLevelZoneEmphasis,0.22969052276862328
original_glszm_SmallAreaLowGrayLevelEmphasis,0.09273302466900049
original_glszm_ZoneVariance,0.2605843527028108
original_ngtdm_Busyness,0.1514973685682294
original_ngtdm_Coarseness,0.24648263116853258
original_ngtdm_Complexity,0.10446924133806612
original_ngtdm_Contrast,0.09939620456265642
original_ngtdm_Strength,0.09623757674293291
original_shape_LeastAxisLength,0.05092737314374259
original_shape_SurfaceVolumeRatio,0.044836325163182304
original_glcm_JointEnergy,0.03758731772170728
original_glcm_MaximumProbability,0.015743000060230446
original_glrlm_LongRunEmphasis,0.11825492202398025
original_shape_SurfaceArea,0.03335914785108829
uz_p05,0.023003054967015515
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.052115133693471226
original_glcm_Correlation,0.011773737850145549
original_shape_MajorAxisLength,0.009595534639508017
