fold,acc,auc,f1
1,0.8049792531120332,0.8604118993135011,0.6713286713286714
2,0.7662835249042146,0.875,0.6013071895424836
3,0.8359375,0.8520499108734403,0.7123287671232876
4,0.8992248062015504,0.9036697247706421,0.6904761904761905
5,0.823076923076923,0.8842567784803343,0.5892857142857143
