fold,acc,auc,f1
1,0.9128630705394191,0.9509916094584286,0.8073394495412844
2,0.9195402298850575,0.9725609756097562,0.8205128205128205
3,0.94140625,0.99294737657909,0.8780487804878049
4,0.9457364341085271,0.9852064220183487,0.8108108108108109
5,0.9384615384615385,0.9719215518165255,0.8
