fold,acc,auc,f1
1,0.991701244813278,0.999809305873379,0.9821428571428571
2,0.9961685823754789,1.0,0.9911504424778761
3,0.98828125,0.9953499186235759,0.9781021897810219
4,0.9883720930232558,0.9996559633027523,0.963855421686747
5,1.0,1.0,1.0
