fold,acc,auc,f1
1,0.8589211618257261,0.8814836003051106,0.6304347826086957
2,0.8505747126436781,0.8898954703832752,0.5894736842105263
3,0.83984375,0.9295512671471751,0.5858585858585859
4,0.9147286821705426,0.9432339449541284,0.6451612903225806
5,0.9,0.9305540670882007,0.6285714285714286
